userId,eventId
1,16
1,47
1,49
1,3
1,40
1,13
1,1
1,10
1,35
1,0
1,49
1,45
1,49
1,45
1,14
1,31
1,0
1,38
1,17
1,9
1,42
1,11
1,37
1,28
1,29
1,35
1,32
1,12
1,33
1,3
1,43
1,28
1,39
1,39
1,14
1,29
1,11
1,26
1,19
1,19
1,46
1,16
1,19
1,4
1,44
1,47
1,13
1,23
1,3
1,49
1,39
1,29
1,28
1,5
1,40
1,41
1,34
1,36
1,21
1,48
1,32
1,7
1,46
1,34
1,22
1,3
1,7
1,37
1,11
1,27
1,27
1,24
1,27
1,37
1,25
1,48
1,30
1,45
1,21
1,17
1,40
1,14
1,46
1,16
1,46
1,11
1,27
1,38
1,11
1,47
1,42
1,26
1,27
1,10
1,0
1,44
1,47
1,46
1,36
1,18
1,46
1,42
1,45
1,48
1,24
1,3
1,31
1,31
1,42
1,45
1,29
1,2
1,13
1,47
1,19
1,21
1,16
1,23
1,6
1,13
1,40
1,4
1,12
1,44
1,37
1,22
1,38
1,28
1,19
1,41
1,12
1,17
1,33
1,42
1,2
1,16
1,1
1,11
1,24
1,10
1,5
1,49
1,1
1,27
1,48
1,30
1,14
1,25
1,48
1,21
1,30
1,6
1,46
1,38
1,18
1,35
1,16
1,31
1,43
1,33
1,17
1,19
1,45
1,6
1,17
1,11
1,37
1,32
1,44
1,22
1,19
1,9
1,5
1,33
1,35
1,34
1,36
1,6
1,23
1,27
1,26
1,31
1,5
1,48
1,29
1,11
1,32
1,21
1,5
1,31
1,42
1,9
1,49
1,0
1,27
1,24
1,30
1,30
1,39
1,13
1,12
1,32
1,47
1,36
1,17
1,33
1,2
1,20
1,31
1,36
1,46
1,47
1,18
1,47
1,3
1,29
1,2
1,39
1,26
1,42
1,37
1,4
1,45
1,49
1,27
1,49
1,5
1,3
1,0
1,1
1,29
1,19
2,6
2,15
2,33
2,26
2,9
2,20
2,48
2,46
2,19
2,36
2,28
2,7
2,36
2,46
2,33
2,18
2,36
2,8
2,44
2,9
2,16
2,44
2,6
2,0
2,29
2,22
2,19
2,6
2,27
3,45
3,37
3,20
3,45
3,48
3,44
3,37
3,33
3,16
3,9
3,3
3,20
3,40
3,10
3,44
3,28
3,35
3,28
3,13
3,30
3,30
3,32
3,12
3,4
3,21
3,15
3,13
3,20
3,29
3,30
3,25
3,34
3,42
3,28
3,20
3,15
3,5
3,20
3,11
4,29
4,19
4,41
4,36
4,17
4,30
4,39
4,43
4,38
4,30
4,12
4,45
4,7
4,0
4,1
4,21
4,24
4,16
4,37
4,20
4,9
4,48
4,29
4,18
4,22
4,5
4,48
4,31
4,20
4,33
4,20
4,1
4,26
4,36
4,29
4,29
4,32
4,31
4,41
4,37
4,18
4,19
4,45
4,21
4,26
4,14
4,30
4,15
4,32
4,11
4,23
4,3
4,24
4,35
4,11
4,12
4,17
4,0
4,24
4,46
4,29
4,19
4,35
4,49
4,31
4,12
4,3
4,32
4,38
4,10
4,3
4,42
4,48
4,5
4,37
4,26
4,34
4,8
4,8
4,12
4,14
4,37
4,1
4,29
4,21
4,11
4,45
4,4
4,10
4,26
4,15
4,2
4,10
4,30
4,9
4,6
4,27
4,44
4,41
4,43
4,34
4,13
4,16
4,0
4,24
4,14
4,32
4,24
4,42
4,20
4,7
4,43
4,3
4,33
4,11
4,2
4,16
4,13
4,44
4,6
4,33
4,25
4,9
4,49
4,29
4,2
4,17
4,27
4,46
4,12
4,38
4,48
4,19
4,35
4,43
4,32
4,23
4,5
4,3
4,18
4,14
4,27
4,2
4,45
4,11
4,41
4,7
4,40
4,8
4,38
4,46
4,20
4,14
4,22
4,42
4,4
4,21
4,26
4,45
4,28
4,22
4,45
4,16
4,13
4,41
4,22
4,15
4,49
4,33
4,31
4,9
4,3
4,6
4,31
4,28
4,1
4,44
4,2
4,36
4,32
4,25
4,16
4,5
4,12
4,7
4,10
4,26
4,39
4,16
4,21
4,1
4,6
4,28
4,44
4,39
4,12
4,43
4,24
4,17
4,28
4,9
4,16
4,41
4,45
4,39
4,40
4,4
4,6
4,14
4,39
4,28
4,6
4,12
4,15
4,48
4,35
5,44
5,34
5,17
5,7
5,1
5,20
5,7
5,38
5,25
5,9
5,33
5,10
5,17
5,12
5,3
5,36
5,31
5,16
5,34
5,35
5,1
5,39
5,34
5,4
5,9
5,14
5,15
5,34
5,39
5,13
5,43
5,28
5,7
5,48
5,47
5,36
5,28
5,47
5,8
5,32
5,21
5,31
5,30
5,38
6,5
6,43
6,42
6,42
6,47
6,31
6,40
6,9
6,46
6,23
6,10
6,17
6,7
6,30
6,42
6,42
6,35
6,34
6,36
6,22
6,32
6,3
6,21
6,0
6,22
6,18
6,37
6,23
6,6
6,48
6,36
6,44
6,3
6,21
6,9
6,11
6,45
6,47
6,21
6,38
6,28
6,10
6,28
6,8
6,13
6,10
6,16
6,21
6,14
6,47
6,42
6,4
6,10
6,48
6,37
6,40
6,48
6,0
6,23
6,45
6,47
6,10
6,8
6,32
6,15
6,44
6,17
6,42
6,33
6,17
6,9
6,10
6,39
6,47
6,36
6,17
6,18
6,16
6,42
6,13
6,25
6,36
6,22
6,17
6,0
6,6
6,0
6,10
6,5
6,6
6,28
6,34
6,28
6,11
6,19
6,1
6,45
6,6
6,46
6,18
6,24
6,47
6,2
